dof,experiment,response,variable,term,coefficient,unit,nondimensional,nominal_frequency_hz,mean_estimated_frequency_hz,min_estimated_frequency_hz,max_estimated_frequency_hz,included_repeats,reference_speed_m_s,full_r2,fit_quality_flag,standardized_condition_number,assumption_status
sway,sway,Y,v,Y_uv,4.737674486,kg/m,0.02926838218,0.1,0.102,0.102,0.102,3,0.2016078614,0.9495842,ok,6.207651,0.562 m PMM scale; independent nominal-frequency fit; PLA wet rigid mass uses +15% CAD density correction then +2.5% water uptake; free water excluded; full sensor reaction wrench negated; timing and wrench origin remain systematic assumptions
sway,sway,Y,v,Y_v|v|,-32.40458847,kg/m,-0.2001889075,0.1,0.102,0.102,0.102,3,0.2016078614,0.9495842,ok,6.207651,0.562 m PMM scale; independent nominal-frequency fit; PLA wet rigid mass uses +15% CAD density correction then +2.5% water uptake; free water excluded; full sensor reaction wrench negated; timing and wrench origin remain systematic assumptions
sway,sway,Y,v,Y_vdot,-17.67880719,kg,-0.1943346054,0.1,0.102,0.102,0.102,3,0.2016078614,0.9495842,ok,6.207651,0.562 m PMM scale; independent nominal-frequency fit; PLA wet rigid mass uses +15% CAD density correction then +2.5% water uptake; free water excluded; full sensor reaction wrench negated; timing and wrench origin remain systematic assumptions
sway,sway,Y,v,Y_v@Uref,0.955152421,N*s/m,,0.1,0.102,0.102,0.102,3,0.2016078614,0.9495842,ok,6.207651,signed C1*Uref derivative at measured tow speed
sway,sway,Y,v,Y_uv,5.089921237,kg/m,0.03144449042,0.2,0.1979925129,0.1979924485,0.1979925824,3,0.2016078573,0.9988777,ok,9.575186,0.562 m PMM scale; independent nominal-frequency fit; PLA wet rigid mass uses +15% CAD density correction then +2.5% water uptake; free water excluded; full sensor reaction wrench negated; timing and wrench origin remain systematic assumptions
sway,sway,Y,v,Y_v|v|,-11.97040904,kg/m,-0.07395073421,0.2,0.1979925129,0.1979924485,0.1979925824,3,0.2016078573,0.9988777,ok,9.575186,0.562 m PMM scale; independent nominal-frequency fit; PLA wet rigid mass uses +15% CAD density correction then +2.5% water uptake; free water excluded; full sensor reaction wrench negated; timing and wrench origin remain systematic assumptions
sway,sway,Y,v,Y_vdot,-18.06158094,kg,-0.1985422527,0.2,0.1979925129,0.1979924485,0.1979925824,3,0.2016078573,0.9988777,ok,9.575186,0.562 m PMM scale; independent nominal-frequency fit; PLA wet rigid mass uses +15% CAD density correction then +2.5% water uptake; free water excluded; full sensor reaction wrench negated; timing and wrench origin remain systematic assumptions
sway,sway,Y,v,Y_v@Uref,1.026168114,N*s/m,,0.2,0.1979925129,0.1979924485,0.1979925824,3,0.2016078573,0.9988777,ok,9.575186,signed C1*Uref derivative at measured tow speed
sway,sway,Y,v,Y_uv,-4.650346178,kg/m,-0.02872888578,0.3,0.297063543,0.2970635315,0.2970635525,3,0.2016078472,0.9996727,ok,10.1415,0.562 m PMM scale; independent nominal-frequency fit; PLA wet rigid mass uses +15% CAD density correction then +2.5% water uptake; free water excluded; full sensor reaction wrench negated; timing and wrench origin remain systematic assumptions
sway,sway,Y,v,Y_v|v|,8.880398872,kg/m,0.05486128455,0.3,0.297063543,0.2970635315,0.2970635525,3,0.2016078472,0.9996727,ok,10.1415,0.562 m PMM scale; independent nominal-frequency fit; PLA wet rigid mass uses +15% CAD density correction then +2.5% water uptake; free water excluded; full sensor reaction wrench negated; timing and wrench origin remain systematic assumptions
sway,sway,Y,v,Y_vdot,-18.44321342,kg,-0.2027373546,0.3,0.297063543,0.2970635315,0.2970635525,3,0.2016078472,0.9996727,ok,10.1415,0.562 m PMM scale; independent nominal-frequency fit; PLA wet rigid mass uses +15% CAD density correction then +2.5% water uptake; free water excluded; full sensor reaction wrench negated; timing and wrench origin remain systematic assumptions
