sensor_time_shift_ms,timing_group,dof,nominal_frequency_hz,mean_estimated_frequency_hz,term,coefficient,full_r2
0,horizontal,sway,0.1,0.102,Y_uv,4.737674486,0.9495841582
0,horizontal,sway,0.1,0.102,Y_v|v|,-32.40458847,0.9495841582
0,horizontal,sway,0.1,0.102,Y_vdot,-17.67880719,0.9495841582
0,horizontal,sway,0.2,0.1979925129,Y_uv,5.089921237,0.9988777046
0,horizontal,sway,0.2,0.1979925129,Y_v|v|,-11.97040904,0.9988777046
0,horizontal,sway,0.2,0.1979925129,Y_vdot,-18.06158094,0.9988777046
0,horizontal,sway,0.3,0.297063543,Y_uv,-4.650346178,0.9996727231
0,horizontal,sway,0.3,0.297063543,Y_v|v|,8.880398872,0.9996727231
0,horizontal,sway,0.3,0.297063543,Y_vdot,-18.44321342,0.9996727231
0,horizontal,sway,0.4,0.396091255,Y_uv,42.59383006,0.9983620251
0,horizontal,sway,0.4,0.396091255,Y_v|v|,-32.14235754,0.9983620251
0,horizontal,sway,0.4,0.396091255,Y_vdot,-18.60996899,0.9983620251
0,horizontal,sway,0.5,0.4950689373,Y_uv,88.96470117,0.9984174276
0,horizontal,sway,0.5,0.4950689373,Y_v|v|,-53.91572298,0.9984174276
0,horizontal,sway,0.5,0.4950689373,Y_vdot,-18.76925858,0.9984174276
0,horizontal,sway,0.6,0.5940458484,Y_uv,92.91266755,0.9926777824
0,horizontal,sway,0.6,0.5940458484,Y_v|v|,-43.13000354,0.9926777824
0,horizontal,sway,0.6,0.5940458484,Y_vdot,-19.04367737,0.9926777824
0,horizontal,sway,0.7,0.6929789848,Y_uv,42.55680473,0.9962068348
0,horizontal,sway,0.7,0.6929789848,Y_v|v|,-7.805277501,0.9962068348
0,horizontal,sway,0.7,0.6929789848,Y_vdot,-18.98684908,0.9962068348
0,vertical,heave,0.1,0.102,Z_uw,34.84924521,0.7180679271
0,vertical,heave,0.1,0.102,Z_w|w|,-11.26050292,0.7180679271
0,vertical,heave,0.1,0.102,Z_wdot,-3.755898658,0.7180679271
0,vertical,heave,0.2,0.1979924765,Z_uw,29.5660383,0.9770939377
0,vertical,heave,0.2,0.1979924765,Z_w|w|,7.364801713,0.9770939377
0,vertical,heave,0.2,0.1979924765,Z_wdot,6.172571908,0.9770939377
0,vertical,heave,0.3,0.2970635668,Z_uw,33.93594562,0.9940146154
0,vertical,heave,0.3,0.2970635668,Z_w|w|,-2.535743453,0.9940146154
0,vertical,heave,0.3,0.2970635668,Z_wdot,7.199154208,0.9940146154
0,vertical,heave,0.4,0.396091244,Z_uw,22.96947233,0.7501898698
0,vertical,heave,0.4,0.396091244,Z_w|w|,-1.734454151,0.7501898698
0,vertical,heave,0.4,0.396091244,Z_wdot,7.631280513,0.7501898698
0,vertical,heave,0.5,0.4950689522,Z_uw,-17.35567907,0.9503737757
0,vertical,heave,0.5,0.4950689522,Z_w|w|,10.72214215,0.9503737757
0,vertical,heave,0.5,0.4950689522,Z_wdot,8.247186066,0.9503737757
0,vertical,heave,0.6,0.5940458504,Z_uw,12.48978331,0.786257911
0,vertical,heave,0.6,0.5940458504,Z_w|w|,-5.875066534,0.786257911
0,vertical,heave,0.6,0.5940458504,Z_wdot,8.737484231,0.786257911
0,vertical,heave,0.7,0.6929789927,Z_uw,5.771113918,0.9591918779
0,vertical,heave,0.7,0.6929789927,Z_w|w|,-21.63912683,0.9591918779
0,vertical,heave,0.7,0.6929789927,Z_wdot,8.916602578,0.9591918779
0,vertical,pitch,0.1,0.102,M_uq,-1.396492154,0.5879507586
0,vertical,pitch,0.1,0.102,M_q|q|,2.014885397,0.5879507586
0,vertical,pitch,0.1,0.102,M_qdot,-0.06249458383,0.5879507586
0,vertical,pitch,0.2,0.1979898297,M_uq,-0.3280617769,0.953873019
0,vertical,pitch,0.2,0.1979898297,M_q|q|,0.05796389157,0.953873019
0,vertical,pitch,0.2,0.1979898297,M_qdot,-0.1068859512,0.953873019
0,vertical,pitch,0.3,0.2970670972,M_uq,-0.1818627045,0.9762075171
0,vertical,pitch,0.3,0.2970670972,M_q|q|,0.03194854121,0.9762075171
0,vertical,pitch,0.3,0.2970670972,M_qdot,-0.1457586726,0.9762075171
0,vertical,pitch,0.4,0.3960842088,M_uq,-0.2475747799,0.9974545805
0,vertical,pitch,0.4,0.3960842088,M_q|q|,0.13109748,0.9974545805
0,vertical,pitch,0.4,0.3960842088,M_qdot,-0.1607112924,0.9974545805
0,vertical,pitch,0.5,0.4950708495,M_uq,-0.1718289145,0.9986636106
0,vertical,pitch,0.5,0.4950708495,M_q|q|,0.1361332881,0.9986636106
0,vertical,pitch,0.5,0.4950708495,M_qdot,-0.1637351106,0.9986636106
0,vertical,pitch,0.6,0.5940519176,M_uq,0.01912676408,0.9989232346
0,vertical,pitch,0.6,0.5940519176,M_q|q|,0.1127839795,0.9989232346
0,vertical,pitch,0.6,0.5940519176,M_qdot,-0.1641317232,0.9989232346
0,vertical,pitch,0.7,0.6929686309,M_uq,0.1681558882,0.9977161889
0,vertical,pitch,0.7,0.6929686309,M_q|q|,0.1117998112,0.9977161889
0,vertical,pitch,0.7,0.6929686309,M_qdot,-0.1633595087,0.9977161889
0,horizontal,yaw,0.1,0.102,N_ur,-0.3501757153,0.9731779254
0,horizontal,yaw,0.1,0.102,N_r|r|,0.2663336713,0.9731779254
0,horizontal,yaw,0.1,0.102,N_rdot,-0.1142904962,0.9731779254
0,horizontal,yaw,0.2,0.1979879353,N_ur,-0.1646933308,0.998194782
0,horizontal,yaw,0.2,0.1979879353,N_r|r|,0.04972551065,0.998194782
0,horizontal,yaw,0.2,0.1979879353,N_rdot,-0.1533173884,0.998194782
0,horizontal,yaw,0.3,0.2970669291,N_ur,-0.2337035155,0.9996745827
0,horizontal,yaw,0.3,0.2970669291,N_r|r|,0.1451761555,0.9996745827
0,horizontal,yaw,0.3,0.2970669291,N_rdot,-0.1650914586,0.9996745827
0,horizontal,yaw,0.4,0.3960911097,N_ur,-0.2356779135,0.9997260681
0,horizontal,yaw,0.4,0.3960911097,N_r|r|,0.1754685609,0.9997260681
0,horizontal,yaw,0.4,0.3960911097,N_rdot,-0.1686917398,0.9997260681
0,horizontal,yaw,0.5,0.4950628875,N_ur,0.07124627253,0.9996351371
0,horizontal,yaw,0.5,0.4950628875,N_r|r|,0.08344672649,0.9996351371
0,horizontal,yaw,0.5,0.4950628875,N_rdot,-0.1686359729,0.9996351371
0,horizontal,yaw,0.6,0.5940584402,N_ur,0.4800129692,0.9993628389
0,horizontal,yaw,0.6,0.5940584402,N_r|r|,-0.004106243212,0.9993628389
0,horizontal,yaw,0.6,0.5940584402,N_rdot,-0.1677317561,0.9993628389
0,horizontal,yaw,0.7,0.6929681218,N_ur,1.021551039,0.9998755543
0,horizontal,yaw,0.7,0.6929681218,N_r|r|,-0.08882257094,0.9998755543
0,horizontal,yaw,0.7,0.6929681218,N_rdot,-0.1673883384,0.9998755543
