dof,repeat,file_id,nominal_frequency_hz,estimated_frequency_hz,timing_group,gather_file,sensor_file,status,exclusion_reason,gather_rows,sensor_rows,required_sensor_rows,paired_rows,motion_fit_r2,u_mean_m_s,surge_force_mean_n,surge_force_oscillatory_rms_n,q_amplitude,condition_raw,sensor_time_shift_ms,quality_flag
sway,1,8,0.1,0.102,horizontal,/home/jining_yang/isaac-auv-env/environment/pmm/pure_sway1/gather_8.csv,/home/jining_yang/isaac-auv-env/environment/pmm/pure_sway1/sensor_8.csv,included,,1207,6100,4751,700,0.9999999802,0.201607888,-0.372327106,1.393994725,0.05006275507,8.189509288,0,frequency_search_boundary
sway,1,9,0.2,0.1979925824,horizontal,/home/jining_yang/isaac-auv-env/environment/pmm/pure_sway1/gather_9.csv,/home/jining_yang/isaac-auv-env/environment/pmm/pure_sway1/sensor_9.csv,included,,1207,6100,4751,700,0.9999996429,0.2016078563,-0.4774279506,1.427782574,0.1260038868,10.40415213,0,ok
sway,1,10,0.3,0.2970635452,horizontal,/home/jining_yang/isaac-auv-env/environment/pmm/pure_sway1/gather_10.csv,/home/jining_yang/isaac-auv-env/environment/pmm/pure_sway1/sensor_10.csv,included,,1207,6100,4751,700,0.999998187,0.2016078464,-0.5791227031,1.525618568,0.1889405031,10.25559501,0,ok
sway,1,11,0.4,0.3960912328,horizontal,/home/jining_yang/isaac-auv-env/environment/pmm/pure_sway1/gather_11.csv,/home/jining_yang/isaac-auv-env/environment/pmm/pure_sway1/sensor_11.csv,included,,1207,6300,4751,700,0.9999921245,0.2016078664,-0.7401341477,1.534170781,0.2522549369,9.467647483,0,ok
sway,1,12,0.5,0.4950689159,horizontal,/home/jining_yang/isaac-auv-env/environment/pmm/pure_sway1/gather_12.csv,/home/jining_yang/isaac-auv-env/environment/pmm/pure_sway1/sensor_12.csv,included,,1207,6100,4751,700,0.9999999669,0.2016078402,-0.9329772109,1.441512567,0.315868578,10.06532349,0,ok
sway,1,13,0.6,0.5940458476,horizontal,/home/jining_yang/isaac-auv-env/environment/pmm/pure_sway1/gather_13.csv,/home/jining_yang/isaac-auv-env/environment/pmm/pure_sway1/sensor_13.csv,included,,1207,6400,4751,700,0.9999129844,0.2016078675,-1.113069593,1.794201272,0.3780029101,10.22596632,0,ok
sway,1,14,0.7,0.6929790111,horizontal,/home/jining_yang/isaac-auv-env/environment/pmm/pure_sway1/gather_14.csv,/home/jining_yang/isaac-auv-env/environment/pmm/pure_sway1/sensor_14.csv,included,,1207,6300,4751,700,0.9997720844,0.2016078668,-1.306223343,2.248723493,0.4414761238,9.796599718,0,ok
sway,2,8,0.1,0.102,horizontal,/home/jining_yang/isaac-auv-env/environment/pmm/pure_sway2/gather_8.csv,/home/jining_yang/isaac-auv-env/environment/pmm/pure_sway2/sensor_8.csv,included,,1207,6100,4751,700,0.9999999803,0.2016078578,-0.3745623017,1.41369133,0.05006314741,8.189519857,0,frequency_search_boundary
sway,2,9,0.2,0.1979924485,horizontal,/home/jining_yang/isaac-auv-env/environment/pmm/pure_sway2/gather_9.csv,/home/jining_yang/isaac-auv-env/environment/pmm/pure_sway2/sensor_9.csv,included,,1207,6100,4751,700,0.9999996432,0.2016078519,-0.4130165994,1.378636982,0.1260038318,10.4041654,0,ok
sway,2,10,0.3,0.2970635315,horizontal,/home/jining_yang/isaac-auv-env/environment/pmm/pure_sway2/gather_10.csv,/home/jining_yang/isaac-auv-env/environment/pmm/pure_sway2/sensor_10.csv,included,,1207,6100,4751,700,0.9999981885,0.2016078531,-0.6290777606,1.466104932,0.1889404771,10.25559962,0,ok
sway,2,11,0.4,0.3960912811,horizontal,/home/jining_yang/isaac-auv-env/environment/pmm/pure_sway2/gather_11.csv,/home/jining_yang/isaac-auv-env/environment/pmm/pure_sway2/sensor_11.csv,included,,1207,6100,4751,700,0.9999921232,0.2016078398,-0.7212395534,1.491121974,0.2522550148,9.46767906,0,ok
