dof,repeat,nominal_frequency_hz,estimated_frequency_hz,mean_forward_speed_m_s,fundamental_velocity_amplitude,fundamental_wrench_amplitude,fluid_wrench_per_velocity_in_phase,equivalent_direct_D_at_trial_amplitude,coefficient_units,fundamental_mean_fluid_power_W
sway,1,0.1,0.0973886962962963,0.20160785756605373,0.06378719261268548,0.5336386780990969,7.326033403544376,-7.326033403544376,N*s/m,0.014904104119646815
sway,1,0.2,0.19803225185185186,0.20160784722538144,0.12604902997318948,0.8136668200523461,-0.4563475324394565,0.4563475324394565,N*s/m,-0.0036253064741374095
sway,1,0.3,0.29705705555555556,0.2016078407755351,0.1890566934704895,2.0429266197326923,0.3319465989010977,-0.3319465989010977,N*s/m,0.005932289592826048
sway,1,0.4,0.3960322814814815,0.20160786805988568,0.25192435305972166,3.7584594063718653,1.3130597908525812,-1.3130597908525812,N*s/m,0.041667247339310653
sway,1,0.5,0.49506935185185186,0.20160784387235423,0.3166699559593463,6.119581989870293,3.4505129975439255,-3.4505129975439255,N*s/m,0.1730084818987837
sway,1,0.6,0.5941254888888888,0.20160785671680262,0.37747786108127407,8.975971779708065,3.8016652980039582,-3.8016652980039582,N*s/m,0.27084876142195313
sway,1,0.7,0.6928409185185185,0.2016078666269241,0.44080455535269386,12.275027541188894,5.326101187902663,-5.326101187902663,N*s/m,0.5174537818231101
sway,2,0.1,0.09740518518518519,0.20160784142161456,0.06377919071662688,0.1211679781013244,-1.6763940174309837,1.6763940174309837,N*s/m,-0.0034096053603070073
sway,2,0.2,0.19803219259259258,0.20160785309137708,0.12604896659288983,0.8620943731994767,-0.03392073501514688,0.03392073501514688,N*s/m,-0.0002694721190521441
sway,2,0.3,0.29705705555555556,0.20160785944756687,0.18905667397944753,2.027195975767681,0.36912314561697673,-0.36912314561697673,N*s/m,0.006596678354153111
sway,2,0.4,0.3960322962962963,0.20160784064188664,0.25192446836017635,3.72827528257725,1.88370253825916,-1.88370253825916,N*s/m,0.059775474024396306
sway,2,0.5,0.4950693888888889,0.2016078771365701,0.3166699552872192,6.273566618455018,6.587339969826996,-6.587339969826996,N*s/m,0.3302887668889571
sway,2,0.6,0.5941254888888888,0.2016078376285844,0.3774779331375787,9.62648518085667,14.105659076057217,-14.105659076057217,N*s/m,1.0049547892546216
sway,2,0.7,0.6928408925925926,0.20160784453821448,0.4408044887546895,12.419735524215337,5.473807278393413,-5.473807278393413,N*s/m,0.5318039070947739
sway,3,0.1,0.0973986888888889,0.2016078514394068,0.0637825354702421,3.9264691031558048,0.6144879085013345,-0.6144879085013345,N*s/m,0.0012499334896896863
sway,3,0.2,0.19803224444444445,0.2016078480997522,0.12604904755763605,0.8562328563292414,-0.22128964763660147,0.22128964763660147,N*s/m,-0.0017579650574235774
sway,3,0.3,0.29705705555555556,0.20160784325597664,0.18905665097181268,2.0370314028939904,0.7558871668200181,-0.7558871668200181,N*s/m,0.013508617265283426
sway,3,0.4,0.3960322962962963,0.20160784561832615,0.25192446424788345,3.7216421806494893,1.9110519319420987,-1.9110519319420987,N*s/m,0.06064334950317882
sway,3,0.5,0.49506935185185186,0.20160786457323268,0.31666986861780244,6.13390266133672,2.9226153996095934,-2.9226153996095934,N*s/m,0.14653965219033413
sway,3,0.6,0.5941254666666667,0.20160784449832053,0.3774778881542291,8.94645606976706,3.4897095992524516,-3.4897095992524516,N*s/m,0.24862358576238563
sway,3,0.7,0.6928408925925926,0.20160784534972395,0.4408046723129745,12.519764318053843,6.367055605445242,-6.367055605445242,N*s/m,0.6185873370122755
heave,1,0.1,0.09738968518518519,0.20160784052924335,0.06378648478399862,3.042670610517276,-16.391663159566267,16.391663159566267,N*s/m,-0.033346508140479125
heave,1,0.2,0.19803224444444445,0.20160785426815314,0.12604898487664176,1.5876559832780337,-7.078518566725539,7.078518566725539,N*s/m,-0.056232978160392674
heave,1,0.3,0.2970570777777778,0.2016078545401394,0.1890566348963804,3.616731857318668,-6.154848708743611,6.154848708743611,N*s/m,-0.10999456670575314
heave,1,0.4,0.3960322666666667,0.20160783966220763,0.2519244075402707,6.505167132888179,-5.653791058229479,5.653791058229479,N*s/m,-0.1794114890732377
heave,1,0.5,0.4950694074074074,0.2016078507477451,0.31667002169463354,10.568607301027859,0.6089402813417577,-0.6089402813417577,N*s/m,0.030532236063287095
heave,1,0.6,0.5941255333333333,0.20160787402088637,0.37747774008419693,15.655373983415751,-2.0209583184962456,2.0209583184962456,N*s/m,-0.14398261383663988
heave,1,0.7,0.6928409185185185,0.20160784819952215,0.4408047501821242,21.947316422953783,0.1480208506434992,-0.1480208506434992,N*s/m,0.014380878987999677
heave,2,0.1,0.09740502592592594,0.20160784617193006,0.06377962363998961,7.195631823948984,-10.184748509485733,10.184748509485733,N*s/m,-0.020714965682886013
heave,2,0.2,0.19803217777777776,0.20160783445670502,0.12604896174853794,1.617137160147502,-6.458595125844389,6.458595125844389,N*s/m,-0.05130818008831341
heave,2,0.3,0.2970570777777778,0.20160785904564435,0.1890567019837336,3.5569313562111304,-6.760201696760973,6.760201696760973,N*s/m,-0.12081304015642816
heave,2,0.4,0.3960322962962963,0.2016078641497908,0.25192439284563173,6.613619294106609,10.003763882702376,-10.003763882702376,N*s/m,0.3174489376542567
heave,2,0.5,0.49506937037037035,0.20160787202975325,0.3166699141358913,10.616233108838477,7.289918729293114,-7.289918729293114,N*s/m,0.36551592191462656
heave,2,0.6,0.5941254666666667,0.20160783939737273,0.3774777044054649,16.44801712437565,23.824476245725734,-23.824476245725734,N*s/m,1.6973678691421725
heave,2,0.7,0.6928408925925926,0.20160785507712056,0.4408047793495057,21.615337177061967,-0.4139833561604779,0.4139833561604779,N*s/m,-0.04022031565126718
heave,3,0.1,0.09740434814814815,0.20160784768627305,0.0637798246128366,0.3683705868410648,-2.2088579882465944,2.2088579882465944,N*s/m,-0.004492669185139413
heave,3,0.2,0.19803223703703704,0.2016078698042574,0.12604900182114886,1.5685319797210473,-6.5421844616392155,6.5421844616392155,N*s/m,-0.05197226105903527
heave,3,0.3,0.2970570888888889,0.20160784994369196,0.18905679314518292,3.6243618553285355,-6.708611411986657,6.708611411986657,N*s/m,-0.11989117453678956
heave,3,0.4,0.39603231111111115,0.201607844345463,0.2519244380461909,6.523560671651999,-5.531701501157808,5.531701501157808,N*s/m,-0.175537269341013
heave,3,0.5,0.4950693888888889,0.20160786198694797,0.3166699833866107,10.770529232617518,-4.545853513782541,4.545853513782541,N*s/m,-0.22792881874333198
heave,3,0.6,0.5941254666666667,0.20160782145193976,0.3774779046503485,15.674144575958499,-1.4186634014642063,1.4186634014642063,N*s/m,-0.10107236796013351
heave,3,0.7,0.6928409185185185,0.20160785517370758,0.44080459203160943,22.355750523273905,13.00640755515242,-13.00640755515242,N*s/m,1.2636289961336167
pitch,1,0.1,0.0977852074074074,0.20113465931692784,0.11010363177118776,0.07023529535039597,-0.09966211213078564,0.09966211213078564,N*m*s,-0.0006040924112861192
pitch,1,0.2,0.19803201481481483,0.20107732257041916,0.21819065575838062,0.013212700023850388,-0.059538438174798675,0.059538438174798675,N*m*s,-0.0014172280434554113
pitch,1,0.3,0.2970644222222222,0.20145805953325083,0.32726200325349075,0.023041802689099233,-0.02447257013001219,0.02447257013001219,N*m*s,-0.0013105112546939273
pitch,1,0.4,0.3960213185185186,0.2019522679108095,0.43607928341426494,0.05182281223561902,0.001832764957680284,-0.001832764957680284,N*m*s,0.00017426400368628545
pitch,1,0.5,0.49507940740740736,0.20213688315822947,0.5481895702812052,0.09364093919446748,0.041237117539558575,-0.041237117539558575,N*m*s,0.00619612031168521
pitch,1,0.6,0.5941200444444444,0.2018571886474283,0.6534079276178292,0.13998941183521055,0.07933431894486047,-0.07933431894486047,N*m*s,0.016935573221100602
pitch,1,0.7,0.6928438481481481,0.20134918740847077,0.7630370710846518,0.2064810206607345,0.13737188176718268,-0.13737188176718268,N*m*s,0.03999071120896607
pitch,2,0.1,0.09705407777777779,0.20113425547030642,0.11067347102346105,0.040071508793566246,-0.17857225104154095,0.17857225104154095,N*m*s,-0.0010936315717376415
pitch,2,0.2,0.19802569629629632,0.2010772087218965,0.21818820068701691,0.00970785464737481,-0.04405927850576474,0.04405927850576474,N*m*s,-0.0010487450091863258
pitch,2,0.3,0.29706612222222223,0.20145806573216182,0.3272568066636265,0.02190638708740771,-0.02117641898077057,0.02117641898077057,N*m*s,-0.0011339656571667152
pitch,2,0.4,0.3960247555555556,0.20195217386400657,0.4360852161586429,0.05471865381423741,0.0017508692256866978,-0.0017508692256866978,N*m*s,0.0001664816767447636
pitch,2,0.5,0.4950687037037037,0.20213671403350125,0.5481570761895511,0.09385890617920663,0.03689674194998851,-0.03689674194998851,N*m*s,0.005543296041048559
pitch,2,0.6,0.5941386888888889,0.20185782553366607,0.6534444592666441,0.14158133046258314,0.09137851004806255,-0.09137851004806255,N*m*s,0.019508839529874793
pitch,2,0.7,0.6928290185185184,0.2013490247890331,0.76301122345606,0.20741096382761884,0.13429757900576503,-0.13429757900576503,N*m*s,0.03909309370147348
pitch,3,0.1,0.09753252222222222,0.20113453463248293,0.11028748873319436,0.0962300509074506,-0.08855916987240374,0.08855916987240374,N*m*s,-0.0005385872114171589
pitch,3,0.2,0.19803295555555556,0.20107732049039337,0.21819705868009912,0.010744919295005172,-0.04829005676790001,0.04829005676790001,N*m*s,-0.0011495437490385554
pitch,3,0.3,0.2970498,0.2014578503829567,0.32725954224833603,0.02327773110926708,-0.01895070761286932,0.01895070761286932,N*m*s,-0.0010147990979772065
pitch,3,0.4,0.3960367259259259,0.20195218822292516,0.4360798398580392,0.05333360306145351,0.0006988692085925229,-0.0006988692085925229,N*m*s,6.645045052736235e-05
pitch,3,0.5,0.4950648333333333,0.20213671428580954,0.5481566931474309,0.09378878101663445,0.04359335365896387,-0.04359335365896387,N*m*s,0.006549373041094891
pitch,3,0.6,0.5941344666666667,0.201857663168869,0.6534401405974196,0.13953124344534354,0.08029603211511363,-0.08029603211511363,N*m*s,0.017142561184646046
