dof,repeat,file_id,nominal_frequency_hz,estimated_frequency_hz,motion_r2,forward_r2,paired_samples,gather_rows,sensor_rows,mean_towing_speed_m_s,excited_coordinate_fundamental_amplitude,excited_velocity_fundamental_amplitude,gather_file,sensor_file
sway,1,8,0.1,0.0973886962962963,0.9999999793966892,0.9999999999988842,700,1207,6100,0.20160785756605373,0.10424255993094778,0.06378719261268548,pure_sway1/gather_8.csv,pure_sway1/sensor_8.csv
sway,1,9,0.2,0.19803225185185186,0.9999996433499888,0.9999999999988289,700,1207,6100,0.20160784722538144,0.1013033281426275,0.12604902997318948,pure_sway1/gather_9.csv,pure_sway1/sensor_9.csv
sway,1,10,0.3,0.29705705555555556,0.9999979751193786,0.9999999999988383,700,1207,6100,0.2016078407755351,0.10129134025840486,0.1890566934704895,pure_sway1/gather_10.csv,pure_sway1/sensor_10.csv
sway,1,11,0.4,0.3960322814814815,0.9999915367035955,0.9999999999988783,700,1207,6300,0.20160786805988568,0.10124176222376303,0.25192435305972166,pure_sway1/gather_11.csv,pure_sway1/sensor_11.csv
sway,1,12,0.5,0.49506935185185186,0.999999968058821,0.9999999999989236,700,1207,6100,0.20160784387235423,0.10180308805442825,0.3166699559593463,pure_sway1/gather_12.csv,pure_sway1/sensor_12.csv
sway,1,13,0.6,0.5941254888888888,0.9999230919843233,0.999999999998812,700,1207,6400,0.20160785671680262,0.1011191551656792,0.37747786108127407,pure_sway1/gather_13.csv,pure_sway1/sensor_13.csv
sway,1,14,0.7,0.6928409185185185,0.9997549944612968,0.9999999999989279,700,1207,6300,0.2016078666269241,0.10125877679369631,0.44080455535269386,pure_sway1/gather_14.csv,pure_sway1/sensor_14.csv
sway,2,8,0.1,0.09740518518518519,0.999999979518307,0.9999999999989275,700,1207,6100,0.20160784142161456,0.10421183892473408,0.06377919071662688,pure_sway2/gather_8.csv,pure_sway2/sensor_8.csv
sway,2,9,0.2,0.19803219259259258,0.9999996432712547,0.9999999999988887,700,1207,6100,0.20160785309137708,0.10130330751907254,0.12604896659288983,pure_sway2/gather_9.csv,pure_sway2/sensor_9.csv
sway,2,10,0.3,0.29705705555555556,0.9999979762642851,0.9999999999989042,700,1207,6100,0.20160785944756687,0.10129132981564443,0.18905667397944753,pure_sway2/gather_10.csv,pure_sway2/sensor_10.csv
sway,2,11,0.4,0.3960322962962963,0.9999915348013677,0.9999999999988736,700,1207,6100,0.20160784064188664,0.1012418047727157,0.25192446836017635,pure_sway2/gather_11.csv,pure_sway2/sensor_11.csv
sway,2,12,0.5,0.4950693888888889,0.9999999679874673,0.9999999999989038,700,1207,6100,0.2016078771365701,0.10180308022227952,0.3166699552872192,pure_sway2/gather_12.csv,pure_sway2/sensor_12.csv
sway,2,13,0.6,0.5941254888888888,0.9999230868924679,0.999999999998878,700,1207,6100,0.2016078376285844,0.10111917446819574,0.3774779331375787,pure_sway2/gather_13.csv,pure_sway2/sensor_13.csv
sway,2,14,0.7,0.6928408925925926,0.9997550012079284,0.9999999999988706,700,1207,6100,0.20160784453821448,0.10125876528430913,0.4408044887546895,pure_sway2/gather_14.csv,pure_sway2/sensor_14.csv
sway,3,8,0.1,0.0973986888888889,0.999999979508792,0.9999999999987987,700,1207,6100,0.2016078514394068,0.10422425516018498,0.0637825354702421,pure_sway3/gather_8.csv,pure_sway3/sensor_8.csv
sway,3,9,0.2,0.19803224444444445,0.9999996437325426,0.9999999999988569,700,1207,6300,0.2016078480997522,0.10130334606418667,0.12604904755763605,pure_sway3/gather_9.csv,pure_sway3/sensor_9.csv
